City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,kargasok,59.0556,80.8572,11.09,32,100,0.89,RU,1717419792
255,magnolia,33.2671,-93.2393,19.93,93,100,1.79,US,1717419656
256,rudsar,37.1376,50.288,29.99,51,0,1.86,IR,1717419793
257,yeniseysk,58.4497,92.1703,11.08,75,13,5.81,RU,1717419794
258,broken hill,-31.95,141.4333,8.84,47,100,3.64,AU,1717419754
259,saint-georges,12.0564,-61.7485,29.82,74,75,8.75,GD,1717419795
260,uusikaupunki,60.8004,21.4084,18.54,53,11,3.07,FI,1717419796
261,souillac,-20.5167,57.5167,24.21,60,40,4.63,MU,1717419797
262,kirillov,59.863,38.3813,23.32,55,19,3.68,RU,1717419797
263,san antonio de pale,-1.4014,5.6325,26.18,73,5,5.35,GQ,1717419657
264,tuxpan,19.55,-103.4,21.41,48,9,0.82,MX,1717419798
265,usogorsk,63.4106,48.6872,23.15,45,100,2.37,RU,1717419799
266,arraial do cabo,-22.9661,-42.0278,24.92,73,40,4.63,BR,1717419692
267,northam,51.0333,-4.2167,17.44,85,100,4.03,GB,1717419800
268,at taj,24.2049,23.2857,42.03,9,5,2.92,LY,1717419801
269,concepcion,-36.827,-73.0498,6.89,81,0,1.54,CL,1717419733
270,banganapalle,15.3167,78.2333,31.82,54,100,1.01,IN,1717419802
271,motygino,58.1831,94.7592,13.21,58,81,3.58,RU,1717419803
272,kalevala,65.2,31.1667,18.38,79,9,2.24,RU,1717419803
273,cordoba,-31.4135,-64.1811,9.31,65,0,0.89,AR,1717419636
274,onsala,57.4253,12.029,19.41,78,100,7.15,SE,1717419805
275,chihuahua,28.5,-106.0,21.76,20,94,2.2,MX,1717419308
276,cockburn town,21.4612,-71.1419,27.44,83,98,9.93,TC,1717419803
277,matoury,4.8483,-52.3317,26.98,94,75,0.51,GF,1717419807
278,lompoc,34.6391,-120.4579,13.9,82,100,6.26,US,1717419660
279,tura,25.5198,90.2201,24.08,94,100,1.49,IN,1717419808
280,golfito,8.639,-83.166,24.78,91,95,0.98,CR,1717419808
281,wanganui,-39.9333,175.05,7.68,90,100,2.28,NZ,1717419809
282,cherrapunji,25.3,91.7,16.95,98,100,1.15,IN,1717419809
283,cam ranh,11.9214,109.1591,29.98,62,40,2.06,VN,1717419810
284,arkalyk,50.2486,66.9114,22.92,31,43,3.64,KZ,1717419811
285,bodaybo,57.8506,114.1933,12.94,95,100,4.11,RU,1717419811
286,bu'aale,1.0833,42.5833,35.33,33,87,6.35,SO,1717419812
287,saint-philippe,-21.3585,55.7679,23.77,64,0,5.17,RE,1717419813
288,juegang,32.3174,121.1855,19.25,82,45,2.69,CN,1717419813
289,saudarkrokur,65.7461,-19.6394,2.18,73,90,5.76,IS,1717419814
290,fort bragg,35.139,-79.006,22.12,93,100,4.12,US,1717419815
291,panjab,34.388,67.0233,17.95,15,52,4.58,AF,1717419815
292,usinsk,65.9939,57.5281,7.26,70,39,4.02,RU,1717419610
293,tuy hoa,13.0833,109.3,28.98,74,99,1.73,VN,1717419817
294,marka,1.7159,44.7717,28.05,75,30,7.41,SO,1717419817
295,minas de marcona,-15.2119,-75.1103,12.14,81,5,3.26,PE,1717419818
296,amahai,-3.3333,128.9167,26.0,89,87,2.34,ID,1717419819
297,chernyakhovsk,54.6335,21.8156,21.61,73,40,4.81,RU,1717419591
298,senj,44.9894,14.9058,22.63,69,93,3.04,HR,1717419670
299,olean,42.0776,-78.4297,18.38,100,100,0.0,US,1717419575
300,melekeok village,7.4957,134.6367,27.31,89,75,0.0,PW,1717419821
301,flin flon,54.7682,-101.865,9.91,71,75,2.06,CA,1717419822
302,kerman,30.2832,57.0788,35.92,13,0,7.2,IR,1717419822
303,trairi,-3.2778,-39.2689,28.01,71,55,5.03,BR,1717419554
304,kailua-kona,19.6406,-155.9956,25.98,85,100,2.57,US,1717419824
305,mwingi,-0.9344,38.0601,26.07,60,74,3.76,KE,1717419824
306,hadibu,12.65,54.0333,31.49,65,23,3.49,YE,1717419729
307,mili,6.0815,171.735,28.41,80,100,6.6,MH,1717419826
308,sabha,27.0377,14.4283,41.51,10,99,1.78,LY,1717419826
309,hell-ville,-13.4,48.2667,31.93,74,20,1.03,MG,1717419827
310,pontes e lacerda,-15.2261,-59.3353,27.11,49,100,0.98,BR,1717419828
311,talara,-4.5772,-81.2719,19.42,88,0,6.69,PE,1717419829
312,ayancik,41.9447,34.5861,23.26,69,0,2.93,TR,1717419829
313,lihue,21.9789,-159.3672,23.53,81,8,5.02,US,1717419660
314,san ignacio,17.1561,-89.0714,25.08,88,0,0.0,BZ,1717419831
315,tual,-5.6667,132.75,27.67,82,20,8.79,ID,1717419831
316,saint-francois,46.4154,3.9054,15.38,82,100,4.12,FR,1717419832
317,enewetak,11.3474,162.3373,27.94,84,100,8.6,MH,1717419832
318,sechura,-5.5569,-80.8222,18.82,82,10,5.28,PE,1717419833
319,labuan,5.2767,115.2417,25.2,94,40,1.03,MY,1717419834
320,amursk,50.2261,136.8994,9.99,66,0,2.21,RU,1717419834
321,pitkyaranta,61.5734,31.4792,17.51,78,68,3.07,RU,1717419835
322,suoyarvi,62.0833,32.35,21.12,72,100,1.8,RU,1717419835
323,alenquer,-1.9417,-54.7383,27.57,78,88,2.13,BR,1717419836
324,jwaneng,-24.6004,24.7303,13.59,23,0,8.04,BW,1717419837
325,hami,42.8,93.45,28.63,18,5,3.23,CN,1717419838
326,lebu,-37.6167,-73.65,10.19,66,100,4.11,CL,1717419838
327,uturoa,-16.7333,-151.4333,26.75,73,100,6.19,PF,1717419839
328,kayes,14.0,-11.0,39.67,13,5,3.78,ML,1717419840
329,yazoo city,32.8551,-90.4056,24.39,87,100,3.47,US,1717419841
330,remire-montjoly,4.9167,-52.2667,27.02,94,75,0.51,GF,1717419842
331,bozoum,6.3193,16.3799,35.81,30,100,1.63,CF,1717419842
332,capayan,-28.761,-66.0502,12.11,42,87,0.6,AR,1717419843
333,iwanai,42.9744,140.5089,9.52,96,97,2.17,JP,1717419843
334,kapa'a,22.0752,-159.319,24.18,84,100,6.17,US,1717419844
335,karratha,-20.7377,116.8463,22.81,39,0,0.86,AU,1717419845
336,waslala,13.2333,-85.3833,25.11,90,11,0.96,NI,1717419845
337,greenville,35.6127,-77.3663,23.41,85,100,4.12,US,1717419559
338,puerto lempira,15.2667,-83.7667,29.08,70,40,0.0,HN,1717419847
339,chehalis,46.662,-122.964,10.8,91,100,3.6,US,1717419847
340,plastun,44.7561,136.2939,6.16,90,98,0.75,RU,1717419848
341,jiagedaqi,50.4167,124.1167,8.51,84,0,0.81,CN,1717419848
342,bel ombre,-4.6167,55.4167,28.91,79,40,5.14,SC,1717419849
343,purcell,35.0137,-97.3611,21.16,90,6,6.54,US,1717419802
344,kaladhungi,29.2833,79.35,37.86,11,0,1.48,IN,1717419850
345,mudgee,-32.5943,149.5871,4.79,86,0,1.65,AU,1717419851
346,gbadolite,4.2833,21.0167,33.3,47,92,1.29,CD,1717419852
347,kirakira,-10.4544,161.9205,26.22,88,15,3.48,SB,1717419852
348,bodo,67.28,14.405,12.65,66,40,6.17,NO,1717419853
349,kone,-21.0595,164.8658,22.27,95,19,2.73,NC,1717419854
350,dunay,42.8803,132.3375,12.07,96,37,7.2,RU,1717419854
351,nova vicosa,-17.8919,-39.3719,24.8,80,98,1.5,BR,1717419855
352,port hedland,-20.3167,118.5667,20.03,45,0,4.12,AU,1717419856
353,merrill,45.1805,-89.6835,16.99,94,100,2.57,US,1717419601
354,namie,37.4833,141.0,16.51,92,95,5.9,JP,1717419858
355,hasaki,35.7333,140.8333,18.22,79,86,7.58,JP,1717419859
356,callao,-12.0667,-77.15,17.07,82,100,2.57,PE,1717419592
357,kill devil hills,36.0307,-75.676,25.0,76,100,4.63,US,1717419860
358,la ronge,55.1001,-105.2842,7.14,87,20,3.09,CA,1717419861
359,fallon,39.4735,-118.7774,20.51,51,0,2.57,US,1717419862
360,sierra grande,-41.606,-65.3557,1.95,65,79,5.52,AR,1717419862
361,chiplun,17.5333,73.5167,32.68,60,100,3.75,IN,1717419863
362,pechora,65.1472,57.2244,11.03,59,11,2.68,RU,1717419864
363,tezu,27.9167,96.1667,23.03,93,100,1.24,IN,1717419865
